timestep kinetic_energy potential_energy total_energy
10 77.65282767248556 -294.5945015805222 -216.94167390803665
20 155.0168981458005 -372.7645839923931 -217.74768584659262
30 245.41332989233445 -462.7629221664683 -217.34959227413384
40 274.72186412871844 -495.9597059921511 -221.23784186343266
50 268.29094773596944 -491.53237438368103 -223.2414266477116
60 241.56099619167884 -465.59920966352075 -224.0382134718419
70 230.89329918751602 -454.717894100625 -223.824594913109
80 244.82251546874247 -467.9215937197639 -223.09907825102144
90 257.4390244940625 -481.230481280456 -223.7914567863935
100 261.3450107334972 -485.00355425312 -223.6585435196228
110 240.52433327478414 -464.16169891258613 -223.637365637802
120 245.92891256431918 -469.2530193797527 -223.3241068154335
130 231.68395769855184 -454.1030475149972 -222.41908981644534
140 251.1434744961637 -474.1129759987847 -222.969501502621
150 241.65297616274466 -464.6836011180348 -223.03062495529014
160 235.78385247978224 -459.08222633030897 -223.29837385052673
170 260.1653736013542 -484.03202887577044 -223.86665527441625
180 254.2667760744141 -477.66186287001887 -223.39508679560475
190 245.28546687595056 -467.19692347187885 -221.91145659592829
200 240.99077392665913 -463.20897438227115 -222.21820045561202
210 256.59957162702864 -480.0261515516808 -223.42657992465217
220 256.303602106099 -479.25345290004935 -222.94985079395036
230 245.93379485519372 -469.2700896340209 -223.33629477882718
240 251.77116704872046 -475.10459489135906 -223.3334278426386
250 241.51566989301924 -465.25816502954115 -223.7424951365219
260 253.70372680667862 -478.20699196523753 -224.50326515855892
270 235.92817633732292 -459.11163666564016 -223.18346032831724
280 253.4032932545786 -476.104009407564 -222.70071615298536
290 229.0596007980751 -452.8207459012518 -223.76114510317672
300 244.41518294225767 -468.076223319689 -223.66104037743133
310 236.7114221621331 -460.8177458397927 -224.1063236776596
320 253.43607898309756 -477.20282427904334 -223.76674529594578
330 232.95216376076615 -456.7179641917253 -223.76580043095913
340 236.8268983186649 -460.8009636571722 -223.9740653385073
350 228.16846659860047 -450.86056198415054 -222.69209538555006
360 254.5236495518224 -478.28038578821577 -223.75673623639338
370 232.7465672255003 -456.13762663589443 -223.39105941039412
380 257.5753033723231 -480.96131318819624 -223.38600981587314
390 256.7978915191487 -479.659763600549 -222.8618720814003
400 250.4682605213569 -473.95605747993307 -223.48779695857615
410 250.95006110106794 -473.1847348285374 -222.23467372746944
420 238.11314627903096 -462.51078741141185 -224.3976411323809
430 243.91431672750457 -467.03741792927906 -223.1231012017745
440 236.4953621020223 -460.1423141367724 -223.64695203475011
450 249.4326355606194 -471.9538629736004 -222.521227412981
460 245.4341999681898 -467.4551191404476 -222.0209191722578
470 228.2745090031906 -451.0073091977637 -222.7328001945731
480 265.51551673988246 -488.8237932853355 -223.30827654545305
490 236.79321204635914 -460.5484395951076 -223.75522754874845
500 251.53587997179864 -475.1473410882131 -223.6114611164145
510 271.18252155116016 -494.56214672341025 -223.3796251722501
520 257.63761185768277 -481.2271338951823 -223.58952203749953
530 256.43535120207025 -480.03842955017944 -223.6030783481092
540 247.9998263620899 -471.2777214809552 -223.27789511886533
550 243.2985052664496 -466.7492128145867 -223.4507075481371
560 252.8851631239433 -476.5923224875363 -223.707159363593
570 242.8018848007891 -467.82074650017535 -225.01886169938624
580 226.27171737778298 -451.5818585538427 -225.31014117605974
590 243.27625400651618 -466.77995321456945 -223.50369920805326
600 245.98657395577666 -468.4093721864443 -222.4227982306676
610 270.74450102434724 -492.461916870359 -221.71741584601176
620 247.63894135247898 -469.9176571427452 -222.27871579026623
630 244.92842252039728 -468.34314530016746 -223.4147227797702
640 258.7190231560786 -482.02379804524844 -223.30477488916983
650 263.92829468024127 -486.8413088784107 -222.91301419816944
660 258.04611214168875 -482.0047180604324 -223.95860591874367
670 262.1176993624205 -486.16442381088626 -224.04672444846574
680 252.95629971591887 -476.5073732103988 -223.5510734944799
690 256.2057751975048 -479.26865665845014 -223.06288146094533
700 243.902468827284 -466.5355503422611 -222.6330815149771
710 269.57417601817576 -492.3053702152114 -222.73119419703562
720 251.26785912467312 -474.6663381722529 -223.39847904757977
730 249.40397910044103 -473.15044121621816 -223.74646211577712
740 278.7548344762119 -501.99239772747217 -223.23756325126027
750 236.2530255612165 -459.43983472577776 -223.18680916456125
760 251.18258492814152 -474.6811138737418 -223.4985289456003
770 255.79066571449044 -478.7703463812133 -222.97968066672286
780 239.9247797727102 -462.6297239302112 -222.704944157501
790 234.6240613478766 -457.38969075454554 -222.76562940666895
800 258.9218442423651 -481.95069164995266 -223.02884740758753
810 247.05684543593478 -470.54477794945257 -223.4879325135178
820 259.7049375784594 -483.1999647807624 -223.495027202303
830 257.95455884710424 -482.11748697297054 -224.1629281258663
840 232.0272543562698 -456.28527655349683 -224.25802219722704
850 244.49161882768985 -468.72893446357836 -224.2373156358885
860 250.38506500424083 -473.3723036723085 -222.98723866806765
870 236.16413350828614 -458.3288967022158 -222.16476319392964
880 266.24777664998766 -489.12097689152296 -222.8732002415353
890 234.3944115391207 -457.93798734892107 -223.54357580980036
900 255.42479082090617 -477.1733234082637 -221.74853258735752
910 263.1251669963097 -486.5360423806277 -223.410875384318
920 233.71634328521242 -456.52843765873047 -222.81209437351805
930 225.19060484166027 -447.65542094378264 -222.46481610212237
940 250.589620228552 -473.2052858294856 -222.6156656009336
950 254.85150740913 -477.9874108602364 -223.13590345110643
960 259.6351607054299 -482.5067536971978 -222.8715929917679
970 262.53804075377167 -485.14126596012545 -222.60322520635378
980 271.9166758889563 -492.84410062694 -220.9274247379837
990 244.30233632902613 -465.25871874307086 -220.95638241404473
1000 263.22733750429427 -485.35322659763096 -222.1258890933367
1010 268.3291419187643 -490.6836329744988 -222.35449105573446
1020 240.6372327445142 -463.0355136345455 -222.39828089003132
1030 252.11479501999855 -474.9320713476363 -222.81727632763773
1040 261.216673918875 -483.74768088156327 -222.53100696268825
1050 254.2097223530422 -476.88408016591245 -222.67435781287026
1060 238.42588012792353 -460.6162656891836 -222.19038556126006
1070 246.59704685840327 -470.3230223051591 -223.72597544675583
